timeframe,rr_ratio,total_trades,wins,losses,win_rate,buy_win_rate,sell_win_rate,profit_factor,sharpe_ratio,expected_value,max_drawdown_pct,total_return_pct,final_capital,avg_win_pips,avg_loss_pips,composite_score
1d,1.0,6,4,2,0.6667,0.0,0.6667,1.702,4.2488,309.9717,10.9039,18.5934,11859.34,137.46,118.53,0.6586
1d,1.5,6,3,3,0.5,0.0,0.5,1.317,2.1669,181.0083,10.0024,10.8605,11086.050000000001,222.39,114.0,0.5338
1d,2.5,6,2,4,0.3333,0.0,0.3333,1.052,0.3746,41.6972,27.1049,2.5093,10250.93,402.28,116.26,0.3584
1h,1.0,55,27,28,0.4909,0.5185,0.4643,0.83,-4.0513,-57.2449,62.2631,-31.4785,6852.149999999999,20.33,24.04,0.2297
1h,2.0,53,18,35,0.3396,0.4074,0.2692,0.876,-2.8099,-62.9418,60.4862,-33.3343,6666.57,40.42,23.5,0.1846
1h,1.5,53,19,34,0.3585,0.4074,0.3077,0.695,-7.7457,-114.0898,70.1141,-60.4741,3952.59,30.29,23.6,0.1792
1d,2.0,6,2,4,0.3333,0.0,0.3333,0.878,-0.9936,-92.2336,27.105,-5.5278,9447.220000000001,321.83,116.26,0.1771
1h,2.5,51,14,37,0.2745,0.2692,0.28,0.742,-6.1415,-105.7854,70.7166,-53.9422,4605.7800000000025,50.48,23.28,0.1541
1h,3.0,51,12,39,0.2353,0.2308,0.24,0.744,-5.9109,-121.1385,67.0495,-61.787,3821.300000000002,62.58,22.92,0.1437
1d,3.0,5,1,4,0.2,0.0,0.2,0.647,-3.1163,-294.252,27.1047,-14.7126,8528.739999999998,404.91,116.26,0.1265
15m,1.0,4,3,1,0.75,0.6667,1.0,2.637,78.1811,495.2625,9.9995,19.8105,11981.05,12.28,13.05,-999.0
15m,1.5,4,3,1,0.75,0.6667,1.0,3.79,110.3229,922.36,9.9995,36.8944,13689.44,18.42,13.05,-999.0
15m,2.0,4,2,2,0.5,0.3333,1.0,1.61,36.2047,416.725,18.9852,16.669,11666.9,23.98,12.94,-999.0
15m,2.5,3,0,3,0.0,0.0,0.0,0.0,-1817.4252,-901.9867,27.0596,-27.0596,7294.039999999999,0.0,12.25,-999.0
15m,3.0,3,0,3,0.0,0.0,0.0,0.0,-1817.4252,-901.9867,27.0596,-27.0596,7294.039999999999,0.0,12.25,-999.0
